area,target0,target1,target2,target3,target4,maxConfidence
电线电缆收入,3831电线、电缆制造,383电线、电缆、光缆及电工器材制造,1农业,11谷物种植,111稻谷种植,0.364
电子元器件制造业(主营收入),3824电力电子元器件制造,397电子器件制造,3976光电子器件制造,3971电子真空器件制造,3979其他电子器件制造,0.571
毛纺业务,172毛纺织及染整精加工,1农业,11谷物种植,111稻谷种植,112小麦种植,0.222
通讯项目,5177通讯设备批发,8122通讯设备修理,7114计算机及通讯设备经营租赁,1农业,11谷物种植,0.25
广告位租赁,71租赁业,725广告业,7111汽车租赁,6631融资租赁服务,7259其他广告服务,0.333
直投业务,,,,,,0
油麦类,,,,,,0
证券信用业务,7295信用服务,671证券市场服务,6623信用合作社服务,6711证券市场管理服务,6712证券经纪交易服务,0.333
机械加工承揽收入,3484机械零部件加工,342金属加工机械制造,3577棉花加工机械制造,3524木竹材加工机械制造,3429其他金属加工机械制造,0.308
捕捞收入,42水产捕捞,421海水捕捞,422内陆捕捞,1农业,11谷物种植,0.333
电力收入,441电力生产,4420电力供应,4419其他电力生产,487电力工程施工,385家用电力器具制造,0.333
电子元器件制造业(其他收入),3824电力电子元器件制造,397电子器件制造,3976光电子器件制造,3971电子真空器件制造,3979其他电子器件制造,0.632
毛纺业类,172毛纺织及染整精加工,1农业,11谷物种植,111稻谷种植,112小麦种植,0.182
物业费收入,7020物业管理,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
湿地治理相关,772环境治理业,7721水污染治理,7722大气污染治理,7723固体废物治理,7724危险废物治理,0.222
基金业务,9530基金会,6731创业投资基金,6720公开募集证券投资基金,673非公开募集证券投资基金,6739其他非公开募集证券投资基金,0.667
玉米类,113玉米种植,1313玉米加工,1农业,11谷物种植,111稻谷种植,0.4
投行业务,,,,,,0
销售废塑料,1953塑料鞋制造,292塑料制品业,2140塑料家具制造,2921塑料薄膜制造,2924泡沫塑料制造,0.25
修船,,,,,,0
生产制造,3433生产专用车辆制造,C制造业,3432生产专用起重机制造,1442乳粉制造,1461味精制造,0.4
计算机、通讯和其他电子设备制造业,39计算机、通信和其他电子设备制造业,3990其他电子设备制造,3913计算机外围设备制造,34通用设备制造业,35专用设备制造业 ,0.714
劳务技术服务,745质检技术服务,6532物联网技术服务,74专业技术服务业,7459其他质检技术服务,7475地质勘查技术服务,0.6
加工贸易,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
供水相关劳务,7263劳务派遣服务,3743航天相关设备制造,3744航空相关设备制造,64互联网和相关服务,7291旅行社及相关服务,0.2
信用、网络金融、研究业务,J金融业,7295信用服务,69其他金融业,66货币金融服务,6637网络借贷服务,0.182
境外子公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.286
水稻类,,,,,,0
管材,,,,,,0
捕捞,42水产捕捞,421海水捕捞,422内陆捕捞,1农业,11谷物种植,0.5
商品收入,,,,,,0
原燃材料,265合成材料制造,283生物基材料制造,2659其他合成材料制造,3024轻质建筑材料制造,3033防水建筑材料制造,0.25
销售机电产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
服装出口贸易,5132服装批发,5181贸易代理,5232服装零售,181机织服装制造,1921皮革服装制造,0.25
污水,4620污水处理及其再生利用,1农业,11谷物种植,111稻谷种植,112小麦种植,0.2
融资融券业务,6631融资租赁服务,7296非融资担保服务,6950金融资产管理公司,1农业,11谷物种植,0.25
抵销项,,,,,,0
棉纺,1711棉纺纱加工,171棉纺织及印染精加工,1农业,11谷物种植,111稻谷种植,0.4
期货经纪手续费收入,9054体育经纪人,674期货市场服务,6851保险经纪服务,518贸易经纪与代理,9053文化娱乐经纪人,0.167
零售贸易,52零售业,5181贸易代理,521综合零售,5211百货零售,5221粮油零售,0.4
风水电气、废次材等其他商品,4910电气安装,4350电气设备修理,5175电气设备批发,38电气机械和器材制造业 ,3891电气信号设备装置制造,0.154
商口销售收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.182
技术与劳务合作,748工程技术与设计服务,7263劳务派遣服务,745质检技术服务,751技术推广服务,6532物联网技术服务,0.286
服装对外贸易,5132服装批发,5181贸易代理,5232服装零售,181机织服装制造,1921皮革服装制造,0.25
湿地治理移交,772环境治理业,7721水污染治理,7722大气污染治理,7723固体废物治理,7724危险废物治理,0.222
证券承销、保荐及财务顾问业务,6632财务公司服务 ,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,0.125
自营业务,,,,,,0
其他作物种子,163香料作物种植,149其他园艺作物种植,169其他饮料作物种植,11谷物种植,5112种子批发,0.5
产品间相互抵消,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.2
水产品加工,136水产品加工,1369其他水产品加工,1361水产品冷冻加工,1393蛋品加工,1353肉制品及副产品加工,1
普通钢坯,8321普通小学教育,8331普通初中教育,8334普通高中教育,8341普通高等教育,5313普通铁路旅客运输,0.25
附营收入,,,,,,0
机电产品销售,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
工程施工、租赁及其他,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,486节能环保工程施工,0.5
广告、旅游,725广告业,5422旅游客运,6110旅游饭店,7259其他广告服务,7282旅游会展服务,0.333
承销、保荐及顾问业务,3856家用美容、保健护理电器具制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.1
药品类,2750兽用药品制造,2761生物药品制造,5153动物用药品批发,5253动物用药品零售,2720化学药品制剂制造,0.286
杂交玉米种子,113玉米种植,1313玉米加工,5112种子批发,511种子种苗培育活动,1农业,0.5
油漆业务,,,,,,0
藻类加工,135屠宰及肉类加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.444
其他不锈钢,,,,,,0
旅馆收入,612一般旅馆,6129其他一般旅馆,1农业,11谷物种植,111稻谷种植,0.333
技术劳务合作,7263劳务派遣服务,745质检技术服务,751技术推广服务,6532物联网技术服务,6623信用合作社服务,0.2
代销手续费,,,,,,0
外加工收入,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.333
证券承销、保荐及顾问业务,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,6720公开募集证券投资基金,0.143
包装制品类,7292包装服务,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,0.286
粮油种子,5112种子批发,5221粮油零售,511种子种苗培育活动,1农业,11谷物种植,0.333
机电设备制造,392通信设备制造,395视听设备制造,3952音响设备制造,34通用设备制造业,35专用设备制造业 ,0.6
零售收入,52零售业,521综合零售,5211百货零售,5221粮油零售,5232服装零售,0.4
热轧普通中卷板,8321普通小学教育,8331普通初中教育,8334普通高中教育,8341普通高等教育,5313普通铁路旅客运输,0.182
百货行业,5211百货零售,9522行业性团体,1农业,11谷物种植,111稻谷种植,0.333
商贸旅游业,5422旅游客运,6110旅游饭店,7282旅游会展服务,1农业,11谷物种植,0.286
工程施工及其他,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,486节能环保工程施工,0.667
计算机、通信及其他电子智能设备制造业,39计算机、通信和其他电子设备制造业,3913计算机外围设备制造,3961可穿戴智能设备制造,392通信设备制造,34通用设备制造业,0.667
证券承销业务,671证券市场服务,6711证券市场管理服务,6712证券经纪交易服务,6750证券期货监管服务,6720公开募集证券投资基金,0.25
西甜瓜种子,5112种子批发,511种子种苗培育活动,1农业,11谷物种植,111稻谷种植,0.286
包装,7292包装服务,3055玻璃包装容器制造,3467包装专用设备制造,2319包装装潢及其他印刷,2780药用辅料及包装材料,0.5
硝酸钾,,,,,,0
房地产业收入,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.75
冷轧不锈薄板,,,,,,0
中百便民公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.25
健康产业,6813健康保险,70房地产业,7244健康咨询,70房地产业,7090其他房地产业,0.333
煤炭代销手续费,252煤炭加工,690其他煤炭采选,2529其他煤炭加工,5161煤炭及制品批发,6煤炭开采和洗选业,0.222
锦纶丝,2821锦纶纤维制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
权证创设业务,,,,,,0
广告业,725广告业,7259其他广告服务,7251互联网广告服务,1农业,11谷物种植,1
包装制品,7292包装服务,1392豆制品制造,144乳制品制造,16烟草制品业 ,203木制品制造,0.333
水泥、制品、销售业务,3021水泥制品制造,3023石棉水泥制品制造,146调味品、发酵制品制造,301水泥、石灰和石膏制造,3029其他水泥类似制品制造,0.333
修船业,,,,,,0
环卫服务业务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.333
中百仓储公司,5920通用仓储,5930低温仓储,5941油气仓储,5951谷物仓储,5952棉花仓储,0.25
后勤,7214单位后勤管理服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.25
煤炭开采销售,6煤炭开采和洗选业,1110煤炭开采和洗选专业及辅助性活动,71石油开采,252煤炭加工,72天然气开采,0.5
承销业务,,,,,,0
棉纺织,17纺织业,171棉纺织及印染精加工,1711棉纺纱加工,1951纺织面料鞋制造,18纺织服装、服饰业,0.5
其他劳务,7263劳务派遣服务,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
包装类,7292包装服务,3055玻璃包装容器制造,3467包装专用设备制造,2319包装装潢及其他印刷,2780药用辅料及包装材料,0.4
市政施工,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,7810市政设施管理,0.25
碳酸锂,1521碳酸饮料制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
捕捞业,42水产捕捞,421海水捕捞,422内陆捕捞,1农业,11谷物种植,0.4
便民公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.333
后勤服务,7214单位后勤管理服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.4
食品加工制造业,14食品制造业,13农副食品加工业,C制造业,3532农副食品加工专用设备制造,139其他农副食品加工,0.6
啤酒,1513啤酒制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.5
棉布,,,,,,0
营业收入,,,,,,0
氢氧化钾、碳酸钾,1521碳酸饮料制造,7473水、二氧化碳等矿产地质勘查,1农业,11谷物种植,111稻谷种植,0.167
市场铺面出租香精香料及其它,2684香料、香精制造,1529茶饮料及其他饮料制造,7124图书出租,7242市场调查,526汽车、摩托车、零配件和燃料及其他动力销售,0.222
环保设备安装及技术咨询业务,4920管道和设备安装,6560信息技术咨询服务,7245环保咨询,7516环保技术推广服务,4910电气安装,0.375
销售业,52零售业,F批发和零售业,5267机动车充电销售,5299其他未列明零售业,529货摊、无店铺及其他零售业,0.5
仓储公司,5920通用仓储,5930低温仓储,5941油气仓储,5951谷物仓储,5952棉花仓储,0.333
水力发电业,4413水力发电,4411火力发电,4414核力发电,4415风力发电,4872水力发电工程施工,0.857
其他餐饮业,62餐饮业,629其他餐饮业,H住宿和餐饮业,6299其他未列明餐饮业,6241餐饮配送服务,1
包装业务,7292包装服务,3055玻璃包装容器制造,3467包装专用设备制造,2319包装装潢及其他印刷,2780药用辅料及包装材料,0.5
百货商品零售,5211百货零售,5227烟草制品零售,5229其他食品零售,5241文具用品零售,5239其他日用品零售,0.5
啤酒业分部,1513啤酒制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.286
联二脲,,,,,,0
棉纱,,,,,,0
再生资源处理业务,4620污水处理及其再生利用,7620水资源管理,2914再生橡胶制造,4630海水淡化处理,726人力资源服务,0.286
销售收入,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
电器公司,6911信托公司,6632财务公司服务 ,6920控股公司服务,813家用电器修理,8132日用电器修理,0.333
电子信息产品,5279其他电子产品零售,8131家用电子产品修理,5179其他机械设备及电子产品批发,527家用电器及电子产品专门零售 ,25林产品采集,0.333
纺织印染行业,171棉纺织及印染精加工,17纺织业,174丝绢纺织及印染精加工,9522行业性团体,1713棉印染精加工,0.308
药业业务,,,,,,0
商业服务业,72商务服务业,80居民服务业,82其他服务业,6621商业银行服务,7261公共就业服务,0.5
百货零售业,5211百货零售,52零售业,5295旧货零售,F批发和零售业,5299其他未列明零售业,0.857
啤酒行业,1513啤酒制造,9522行业性团体,1农业,11谷物种植,111稻谷种植,0.333
制冷产品销售,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.222
固体废物处理业务,7723固体废物治理,1525固体饮料制造,4630海水淡化处理,7724危险废物治理,7725放射性废物治理,0.6
修船收入,,,,,,0
便民超市,,,,,,0
零售、批发业,51批发业,519其他批发业,F批发和零售业,5199其他未列明批发业,52零售业,0.571
化纤行业(锦纶丝),9522行业性团体,1751化纤织造加工,2811化纤浆粕制造,2821锦纶纤维制造,1752化纤织物染整精加工,0.167
电商业,6840商业养老金,6621商业银行服务,7222商业综合体管理服务,3594商业、饮食、服务专用设备制造,1农业,0.333
其它方面,,,,,,0
监理业,582运输代理业,76水利管理业,772环境治理业,79土地管理业,7482工程监理服务,0.333
啤酒分部,1513啤酒制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
机械工业,512农业机械活动,2643工业颜料制造,3423铸造机械制造,3471电影机械制造,3511矿山机械制造,0.25
销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.286
自来水业务,4610自来水生产和供应,1农业,11谷物种植,111稻谷种植,112小麦种植,0.444
仓储超市,5920通用仓储,5930低温仓储,5941油气仓储,5951谷物仓储,5952棉花仓储,0.333
电子信息行业,9522行业性团体,2423电子乐器制造,397电子器件制造,3982电子电路制造,6940金融信息服务,0.222
化工行业(切片),9522行业性团体,4891园林绿化工程施工,5169其他化工产品批发,3543日用化工专用设备制造,3521炼油、化工生产专用设备制造,0.182
市场铺面出租,7124图书出租,7242市场调查,5413出租车客运,7130日用品出租,5212超级市场零售,0.25
其他业,,,,,,0
化工产品制造业,14食品制造业,2671炸药及火工产品制造,C制造业,251精炼石油产品制造,266专用化学产品制造,0.6
啤酒业,1513啤酒制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.4
烟草配套业,134烟草种植,16烟草制品业 ,5128烟草制品批发,5227烟草制品零售,1690其他烟草制品制造,0.286
药业收入,,,,,,0
市政施工业务,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,7810市政设施管理,0.25
人用药,2750兽用药品制造,5153动物用药品批发,5253动物用药品零售,2666环境污染处理专用药剂材料制造,1农业,0.286
柴油发动机,3620汽车用发动机制造,3812电动机制造,1811运动机织服装制造,3611汽柴油车整车制造,1农业,0.364
公司内行业间抵消,6911信托公司,9522行业性团体,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,0.2
饮食娱乐业,90娱乐业,9090其他娱乐业,R文化、体育和娱乐业,901室内娱乐活动,9011歌舞厅娱乐活动,0.667
食品收入,14食品制造业,141焙烤食品制造,143方便食品制造,1432速冻食品制造,145罐头食品制造,0.286
房产销售业,52零售业,F批发和零售业,5267机动车充电销售,5299其他未列明零售业,529货摊、无店铺及其他零售业,0.333
茶饮料,152饮料制造,1529茶饮料及其他饮料制造,1521碳酸饮料制造,1525固体饮料制造,623饮料及冷饮服务,0.4
校园网络服务,6637网络借贷服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.4
捕捞销售,42水产捕捞,421海水捕捞,422内陆捕捞,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,0.333
自来水销售业务,4610自来水生产和供应,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.364
汽车配件,5263汽车零配件零售,5172汽车及零配件批发,3670汽车零部件及配件制造,7111汽车租赁,36汽车制造业,0.444
有色金属冶炼,321常用有色金属冶炼,3219其他常用有色金属冶炼,322贵金属冶炼,32有色金属冶炼和压延加工业 ,3232稀土金属冶炼,0.833
印染织造行业,175化纤织造及印染精加工,1712棉织造加工,1722毛织造加工,1732麻织造加工,9522行业性团体,0.286
电子信息产品加工,136水产品加工,1369其他水产品加工,1353肉制品及副产品加工,1393蛋品加工,13农副食品加工业,0.545
城市设施广告收入,725广告业,5437城市配送,5412城市轨道交通,7259其他广告服务,7810市政设施管理,0.222
酒精及饮料制造业,152饮料制造,1521碳酸饮料制造,1525固体饮料制造,C制造业,1511酒精制造,0.6
氯化钾及化工产品制造业,2671炸药及火工产品制造,14食品制造业,516矿产品、建材及化工产品批发,251精炼石油产品制造,266专用化学产品制造,0.444
其他印刷业,231印刷,2311书、报刊印刷,3542印刷专用设备制造,2319包装装潢及其他印刷,2320装订及印刷相关服务,0.667
渔业,4渔业,3575渔业机械制造,5117渔业产品批发,5113畜牧渔业饲料批发,A农、林、牧、渔业,1
汽车零部件及其他,3670汽车零部件及配件制造,3752摩托车零部件及配件制造,5261汽车新车零售,5262汽车旧车零售,348通用零部件制造,0.714
铅锌产品销售,3212铅锌冶炼,25林产品采集,912铅锌矿采选,136水产品加工,5115林业产品批发,0.25
再生资源业务,7620水资源管理,2914再生橡胶制造,726人力资源服务,7462生态资源监测,7269其他人力资源服务,0.286
印染行业,9522行业性团体,1713棉印染精加工,1743丝印染精加工,171棉纺织及印染精加工,174丝绢纺织及印染精加工,0.286
饮食、娱乐业,90娱乐业,9090其他娱乐业,R文化、体育和娱乐业,3594商业、饮食、服务专用设备制造,901室内娱乐活动,0.571
管网租金收入,,,,,,0
酵母干,,,,,,0
互联网业务,5193互联网批发,5292互联网零售,643互联网平台,642互联网信息服务,6421互联网搜索服务,0.667
材料销售收入,265合成材料制造,283生物基材料制造,5267机动车充电销售,2659其他合成材料制造,3024轻质建筑材料制造,0.2
储运业,,,,,,0
车桥,,,,,,0
渔业捕捞销售,4渔业,42水产捕捞,421海水捕捞,422内陆捕捞,3575渔业机械制造,0.333
再生资源,7620水资源管理,2914再生橡胶制造,726人力资源服务,7462生态资源监测,7269其他人力资源服务,0.286
过桥收费,,,,,,0
燃气业,5266机动车燃气零售,45燃气生产和供应业,45燃气生产和供应业,4520生物质燃气生产和供应业,3861燃气及类似能源家用器具制造,0.25
四、城市设施广告收入,725广告业,5437城市配送,5412城市轨道交通,7259其他广告服务,7810市政设施管理,0.182
天然气供应,72天然气开采,4511天然气生产和供应业,721陆地天然气开采,7石油和天然气开采业,722海洋天然气及可燃冰开采,0.5
汽车配件制造及销售,3670汽车零部件及配件制造,3412内燃机及配件制造,3714高铁设备、配件制造,3576农林牧渔机械配件制造,3715铁路机车车辆配件制造,0.471
高等教育,834高等教育,8341普通高等教育,8342成人高等教育,832初等教育,833中等教育,1
其他资产出租收入,7124图书出租,5413出租车客运,7130日用品出租,6860保险资产管理,7125音像制品出租,0.25
化学肥料制造,262肥料制造,2624复混肥料制造,2629其他肥料制造,152饮料制造,261基础化学原料制造,0.75
水产品销售,136水产品加工,1361水产品冷冻加工,1369其他水产品加工,1452水产品罐头制造,41水产养殖,0.5
环保设备安装及,4920管道和设备安装,4910电气安装,7245环保咨询,49建筑安装业,392通信设备制造,0.5
大桥收费,,,,,,0
电缆加工业,13农副食品加工业,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.4
三、房地产收入,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.444
其他化工行业,9522行业性团体,4891园林绿化工程施工,5169其他化工产品批发,3543日用化工专用设备制造,3521炼油、化工生产专用设备制造,0.286
商品流通及服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,6231茶馆服务,0.222
冶金钢铁行业,9522行业性团体,3516冶金专用设备制造,3393锻件及粉末冶金制品制造,351采矿、冶金、建筑专用设备制造,1农业,0.222
水电气销售收入,4910电气安装,4350电气设备修理,5175电气设备批发,5267机动车充电销售,38电气机械和器材制造业 ,0.222
化学肥料业,262肥料制造,1020化学矿开采,2624复混肥料制造,2629其他肥料制造,2631化学农药制造,0.286
公司内各分部抵消数,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.182
贵金属回收业务,322贵金属冶炼,92贵金属矿采选,3229其他贵金属冶炼,3253贵金属压延加工,929其他贵金属矿采选,0.5
另类投资及私募股权投资管理业务,7212投资与资产管理,6732天使投资,7020物业管理,7840绿化管理,76水利管理业,0.222
罐头食品制造业,145罐头食品制造,14食品制造业,1459其他罐头食品制造,141焙烤食品制造,143方便食品制造,0.909
二、管网租金收入,2912橡胶板、管、带制造,23森林经营、管护和改培,2922塑料板、管、型材制造,3596交通安全、管制及类似专用设备制造,1农业,0.133
烟用丝束、滤嘴棒,,,,,,0
运输配送,5437城市配送,5438搬家运输,53铁路运输业,54道路运输业,55水上运输业,0.333
连铸坯,,,,,,0
电铜加工,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
工业产品:氯化钾,5115林业产品批发,5117渔业产品批发,25林产品采集,136水产品加工,2643工业颜料制造,0.333
加工出口,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,1314杂粮加工,0.4
环卫业务,,,,,,0
经纪及证券金融业务,6712证券经纪交易服务,J金融业,69其他金融业,9054体育经纪人,66货币金融服务,0.308
一、食品收入,14食品制造业,141焙烤食品制造,143方便食品制造,1432速冻食品制造,145罐头食品制造,0.222
其它化工行业,9522行业性团体,4891园林绿化工程施工,5169其他化工产品批发,3543日用化工专用设备制造,3521炼油、化工生产专用设备制造,0.222
热板,,,,,,0
房地产开发建材,7010房地产开发经营,70房地产业,70房地产业,7090其他房地产业,7030房地产中介服务,0.667
外贸出口业,,,,,,0
硫酸,,,,,,0
工业氯化钾,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,31黑色金属冶炼和压延加工业 ,0.222
白酒行业,1512白酒制造,9522行业性团体,1农业,11谷物种植,111稻谷种植,0.333
自来水供应业务,4610自来水生产和供应,4420电力供应,4430热力生产和供应,7224供应链管理服务,45燃气生产和供应业,0.545
烟用丝束、滤咀棒,,,,,,0
海外业务,,,,,,0
房地产产品,70房地产业,70房地产业,7090其他房地产业,7010房地产开发经营,7030房地产中介服务,0.571
食品销售收入,14食品制造业,141焙烤食品制造,143方便食品制造,1432速冻食品制造,145罐头食品制造,0.222
钢水,,,,,,0
饮食娱乐行业,90娱乐业,9090其他娱乐业,9522行业性团体,901室内娱乐活动,9011歌舞厅娱乐活动,0.286
精锌,,,,,,0
农业氯化钾,1农业,190其他农业,512农业机械活动,5171农业机械批发,7112农业机械经营租赁,0.4
中档产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.286
市政污水处理业务,4620污水处理及其再生利用,4630海水淡化处理,7810市政设施管理,532畜禽粪污处理活动,4813市政道路工程建筑 ,0.429
其他业务分部,,,,,,0
农药产品,263农药制造,5167农药批发,25林产品采集,136水产品加工,2631化学农药制造,0.333
贸易销售收入,5181贸易代理,518贸易经纪与代理,5267机动车充电销售,5189其他贸易经纪与代理,526汽车、摩托车、零配件和燃料及其他动力销售,0.25
印刷加工,231印刷,1494盐加工 ,1311稻谷加工,1312小麦加工,1313玉米加工,0.5
采选冶,810铁矿采选,911铜矿采选,914锡矿采选,915锑矿采选,916铝矿采选,0.4
电锌,,,,,,0
商贸物流业,,,,,,0
固体废弃物处置系统设备集成销售及安装业务,3921通信系统设备制造,7723固体废物治理,4920管道和设备安装,6531信息系统集成服务,653信息系统集成和物联网技术服务,0.25
非金属矿采选业,10非金属矿采选业,8黑色金属矿采选业,9有色金属矿采选业,92贵金属矿采选,932稀土金属矿采选,1
公共设施维护费,78公共设施管理业,N水利、环境和公共设施管理业,6540运行维护服务,7261公共就业服务,7810市政设施管理,0.5
网络信息服务,6940金融信息服务,642互联网信息服务,6571地理遥感信息服务,744测绘地理信息服务,6429互联网其他信息服务,0.6
经纪及证券金融业,J金融业,69其他金融业,6712证券经纪交易服务,699其他未列明金融业,6999其他未包括金融业,0.444
高档产品,25林产品采集,136水产品加工,5115林业产品批发,5117渔业产品批发,5174五金产品批发,0.286
业务分部相互销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.182
采选业,10非金属矿采选业,8黑色金属矿采选业,9有色金属矿采选业,810铁矿采选,911铜矿采选,0.5
主营啤酒,1513啤酒制造,1农业,11谷物种植,111稻谷种植,112小麦种植,0.333
内部业务抵销,,,,,,0
工业用钾,2643工业颜料制造,7491工业设计服务,13农副食品加工业,3491工业机器人制造,178产业用纺织制成品制造,0.25
电器元器件制造业,3824电力电子元器件制造,3825光伏设备及元器件制造,397电子器件制造,3974显示器件制造,3976光电子器件制造,0.533
城市广告收入,725广告业,5437城市配送,5412城市轨道交通,7259其他广告服务,7850城市公园管理,0.286
另类投资及私募股投资管理业务,7212投资与资产管理,6732天使投资,7020物业管理,7840绿化管理,76水利管理业,0.235
固体废弃物处置工程市政施工及技术服务业务,745质检技术服务,6532物联网技术服务,74专业技术服务业,7459其他质检技术服务,7475地质勘查技术服务,0.273
中西药销售业务,5151西药批发,5251西药零售,5267机动车充电销售,8413中西医结合医院,526汽车、摩托车、零配件和燃料及其他动力销售,0.286
烟用丝束,,,,,,0
高碳铬铁,,,,,,0
现代商贸与园区服务,7221园区管理服务,6020快递服务,6130民宿服务,6210正餐服务,6220快餐服务,0.308
啤酒销售,1513啤酒制造,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,0.333
微电子产品,5279其他电子产品零售,8131家用电子产品修理,5179其他机械设备及电子产品批发,527家用电器及电子产品专门零售 ,517机械设备、五金产品及电子产品批发,0.545
零售批发业,51批发业,519其他批发业,F批发和零售业,5199其他未列明批发业,52零售业,0.667
海外业务分部,,,,,,0
农业用钾,1农业,190其他农业,512农业机械活动,5171农业机械批发,7112农业机械经营租赁,0.5
固体废弃物处置工程市政施工业务,4861节能工程施工,4862环保工程施工,487电力工程施工,4873核电工程施工,7723固体废物治理,0.235
备品,,,,,,0
软件开发及服务,651软件开发,6511基础软件开发,6512支撑软件开发,6513应用软件开发,6519其他软件开发,0.667
酒店服务业及其他,72商务服务业,80居民服务业,82其他服务业,729其他商务服务业,74专业技术服务业,0.444
城市设施广告,725广告业,5437城市配送,5412城市轨道交通,7259其他广告服务,7810市政设施管理,0.286
资产管理业务分部,6860保险资产管理,7212投资与资产管理,6950金融资产管理公司,7020物业管理,7840绿化管理,0.6
专用整机及核心零部件,348通用零部件制造,3484机械零部件加工,3912计算机零部件制造,3489其他通用零部件制造,3670汽车零部件及配件制造,0.267
水电业,,,,,,0
电脑销售,5267机动车充电销售,526汽车、摩托车、零配件和燃料及其他动力销售,1农业,11谷物种植,111稻谷种植,0.222
娱乐业,90娱乐业,9090其他娱乐业,R文化、体育和娱乐业,901室内娱乐活动,9011歌舞厅娱乐活动,1
固体废弃物处置工程建设业务,4811铁路工程建筑,4812公路工程建筑,483海洋工程建筑,4840工矿工程建筑,4852管道工程建筑,0.267
整车,361汽车整车制造,3751摩托车整车制造,3611汽柴油车整车制造,3612新能源车整车制造,1农业,0.333
公司内抵消,6911信托公司,6632财务公司服务 ,6920控股公司服务,6634汽车金融公司服务,6635小额贷款公司服务 ,0.286
高碳铬铁及其他,,,,,,0
集成电路与关键元器件,3973集成电路制造,6520集成电路设计,3824电力电子元器件制造,3825光伏设备及元器件制造,3563电子元器件与机电组件设备制造,0.429
通讯寻呼,5177通讯设备批发,8122通讯设备修理,7114计算机及通讯设备经营租赁,1农业,11谷物种植,0.25
